signals,n_signals,direction,n_trades,win_rate,avg_pnl,total_pnl,tp_rate,edge
1D_stoch_A_bull + 4H_macd_e2_bull,2,LONG,5,0.6,0.005796,0.029,0.4,0.0062
1D_stoch_A_bull + 4H_fib0382_reject_bull + 4H_macd_e2_bull,3,LONG,4,0.5,0.00497,0.0199,0.5,0.004
1D_stoch_A_bull + 4H_stoch_A_bull,2,LONG,4,0.5,0.00497,0.0199,0.5,0.004
1D_stoch_A_bull + 4H_fib0382_reject_bull,2,LONG,14,0.5,0.004277,0.0599,0.5,0.004
4H_stoch_A_bull,1,LONG,40,0.425,0.001994,0.0798,0.375,0.00235
4H_fib0382_reject_bull,1,LONG,45,0.4222,0.001518,0.0683,0.289,0.002289
4H_macd_e2_bull,1,LONG,39,0.3846,0.001052,0.041,0.282,0.001462
1D_fib05_in_zone,1,LONG,44,0.3409,-0.000261,-0.0115,0.227,0.0005
4H_fib0382_reject_bull + 4H_macd_e2_bull,2,LONG,18,0.3333,0.000109,0.002,0.222,0.000333
1D_stoch_A_bull,1,LONG,48,0.3333,0.000317,0.0152,0.292,0.000333
4H_cross_bull_sma200 + 4H_reject_bull_sma200,2,LONG,16,0.3125,-0.000463,-0.0074,0.188,-0.000125
4H_cross_bull_sma200,1,LONG,16,0.3125,-0.000463,-0.0074,0.188,-0.000125
1W_stoch_B_bear,1,LONG,43,0.3023,-0.000585,-0.0251,0.256,-0.000349
4H_reject_bull_sma200,1,LONG,24,0.2917,-0.001157,-0.0278,0.125,-0.000583
4H_fib0382_reject_bull + 4H_reject_bull_sma200,2,LONG,7,0.2857,-0.002111,-0.0148,0.0,-0.000714
1D_stoch_B_bull,1,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_A_bull,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_cross_bull_sma200,1,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_reject_bull_sma200,1,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1W_stoch_B_bear,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_B_bull + 1D_reject_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_B_bull + 1D_cross_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_B_bull + 1W_stoch_B_bear,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_B_bull + 1D_stoch_A_bull,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_reject_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_cross_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_A_bull + 1D_reject_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_A_bull + 1W_stoch_B_bear,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1W_stoch_B_bear + 1D_reject_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1W_stoch_B_bear + 1D_cross_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_stoch_A_bull + 1D_cross_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_cross_bull_sma200 + 1D_reject_bull_sma200,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_B_bull + 1D_stoch_A_bull,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_B_bull + 1W_stoch_B_bear,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_B_bull + 1D_cross_bull_sma200,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_B_bull,2,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_B_bull + 1D_reject_bull_sma200,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_A_bull + 1W_stoch_B_bear,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
1D_fib05_in_zone + 1D_stoch_A_bull + 1D_reject_bull_sma200,3,LONG,25,0.28,-0.000994,-0.0249,0.24,-0.00084
