id,direction,bar_start,bar_end,ts_start,ts_end,price_start,price_end,pct_move,mfe_pct,duration_bars,duration_hrs
0,SHORT,433,463,2024-06-18 15:15:00+00:00,2024-06-18 15:45:00+00:00,133.08,134.74,1.247,0.0,30,0.5
1,SHORT,893,963,2024-06-18 22:55:00+00:00,2024-06-20 08:05:00+00:00,136.5603,140.7,3.031,0.315,70,1.2
2,SHORT,1198,1228,2024-06-20 12:00:00+00:00,2024-06-20 12:30:00+00:00,139.3095,140.72,1.012,0.0,30,0.5
3,SHORT,1428,1558,2024-06-20 15:50:00+00:00,2024-06-20 18:00:00+00:00,137.675,132.23,-3.955,5.793,130,2.2
4,LONG,2193,2223,2024-06-21 12:35:00+00:00,2024-06-21 13:05:00+00:00,128.71,127.35,-1.057,0.218,30,0.5
5,LONG,2333,2438,2024-06-21 14:55:00+00:00,2024-06-21 16:40:00+00:00,126.43,128.81,1.882,3.235,105,1.8
6,LONG,3253,3283,2024-06-24 14:15:00+00:00,2024-06-24 14:45:00+00:00,122.46,119.61,-2.327,0.253,30,0.5
7,LONG,3858,3983,2024-06-25 08:20:00+00:00,2024-06-25 10:25:00+00:00,117.24,121.71,3.813,4.188,125,2.1
8,LONG,4253,4313,2024-06-25 14:55:00+00:00,2024-06-25 15:55:00+00:00,121.785,124.88,2.541,2.541,60,1.0
9,SHORT,4648,4803,2024-06-25 21:30:00+00:00,2024-06-26 08:05:00+00:00,127.32,129.55,1.751,0.369,155,2.6
10,SHORT,5048,5143,2024-06-26 12:10:00+00:00,2024-06-26 13:45:00+00:00,128.72,126.3637,-1.831,3.442,95,1.6
11,SHORT,5198,5258,2024-06-26 14:40:00+00:00,2024-06-26 15:40:00+00:00,125.165,123.47,-1.354,1.945,60,1.0
12,SHORT,7119,7274,2024-06-28 14:55:00+00:00,2024-06-28 17:30:00+00:00,125.86,123.94,-1.526,2.28,155,2.6
13,LONG,7776,7981,2024-07-01 09:55:00+00:00,2024-07-01 13:20:00+00:00,121.2,123.02,1.502,2.252,205,3.4
14,LONG,8056,8191,2024-07-01 14:35:00+00:00,2024-07-01 16:50:00+00:00,122.0506,124.026,1.619,2.212,135,2.2
