bar_entry,bar_exit,direction,entry_price,exit_price,pnl_pct,exit_reason
478,718,LONG,134.5454,135.77,0.0091,TIME
4318,4365,LONG,125.1065,124.2308,-0.007,SL
4365,4383,LONG,124.03,123.1618,-0.007,SL
4383,4422,LONG,123.06,124.9059,0.015,TP
4422,4588,LONG,125.07,126.946,0.015,TP
4798,5038,LONG,129.1,129.1,0.0,TIME
7424,7664,LONG,123.47,124.07,0.00486,TIME
8381,8621,LONG,124.27,123.4001,-0.007,SL
10117,10357,LONG,127.32,127.91,0.00463,TIME
13055,13295,LONG,132.14,132.14,0.0,TIME
13295,13327,LONG,132.14,134.1221,0.015,TP
13327,13389,LONG,134.15,133.211,-0.007,SL
13389,13565,LONG,132.8499,134.8426,0.015,TP
13565,13805,LONG,134.885,135.14,0.00189,TIME
13805,14045,LONG,135.14,135.98,0.00622,TIME
14971,15047,LONG,126.89,128.7933,0.015,TP
15047,15131,LONG,128.8,127.8984,-0.007,SL
15131,15159,LONG,127.77,126.8756,-0.007,SL
15159,15214,LONG,126.8,125.9124,-0.007,SL
15214,15216,LONG,125.09,126.9664,0.015,TP
15216,15323,LONG,127.68,129.5952,0.015,TP
15323,15348,LONG,129.7899,128.8814,-0.007,SL
15348,15379,LONG,128.8791,130.8123,0.015,TP
15379,15450,LONG,130.828,129.9122,-0.007,SL
15450,15604,LONG,129.8,131.747,0.015,TP
15604,15651,LONG,131.8,130.8774,-0.007,SL
15651,15668,LONG,130.82,129.9043,-0.007,SL
15668,15908,LONG,129.855,129.66,-0.0015,TIME
15908,16148,LONG,129.66,130.87,0.00933,TIME
17841,17865,LONG,123.53,122.6653,-0.007,SL
17865,17875,LONG,122.56,121.7021,-0.007,SL
17875,18045,LONG,121.5,120.6495,-0.007,SL
18045,18083,LONG,120.57,122.3785,0.015,TP
18083,18086,LONG,124.02,123.1519,-0.007,SL
18086,18198,LONG,121.37,120.5204,-0.007,SL
18198,18202,LONG,120.465,119.6217,-0.007,SL
18202,18204,LONG,119.6101,118.7728,-0.007,SL
18204,18347,LONG,118.71,117.879,-0.007,SL
18347,18366,LONG,117.81,116.9853,-0.007,SL
18366,18413,LONG,116.9501,118.7044,0.015,TP
18413,18439,LONG,118.7712,117.9398,-0.007,SL
18439,18679,LONG,117.905,118.32,0.00352,TIME
18679,18801,LONG,118.32,120.0948,0.015,TP
18801,18923,LONG,121.0,120.153,-0.007,SL
18923,19044,LONG,120.03,121.8304,0.015,TP
20481,20721,LONG,118.25,119.31,0.00896,TIME
20960,20963,LONG,120.38,119.5373,-0.007,SL
20963,20995,LONG,118.78,120.5617,0.015,TP
20995,21065,LONG,120.58,122.3887,0.015,TP
21065,21086,LONG,122.68,121.8212,-0.007,SL
21086,21165,LONG,121.5673,120.7163,-0.007,SL
21165,21251,LONG,120.67,122.48,0.015,TP
22637,22877,LONG,120.5,120.42,-0.00066,TIME
22877,22908,LONG,120.42,119.5771,-0.007,SL
22908,22966,LONG,119.4,118.5642,-0.007,SL
22966,22973,LONG,118.51,117.6804,-0.007,SL
22973,23110,LONG,117.626,116.8026,-0.007,SL
23110,23115,LONG,116.475,115.6597,-0.007,SL
23115,23278,LONG,115.63,114.8206,-0.007,SL
23278,23344,LONG,114.56,113.7581,-0.007,SL
23344,23393,LONG,113.58,115.2837,0.015,TP
23393,23455,LONG,115.31,114.5028,-0.007,SL
23455,23594,LONG,114.4499,113.6488,-0.007,SL
23830,23911,LONG,112.86,114.5529,0.015,TP
23911,23917,LONG,114.57,113.768,-0.007,SL
23917,23922,LONG,113.55,112.7552,-0.007,SL
23922,23923,LONG,112.44,111.6529,-0.007,SL
23923,23932,LONG,111.59,113.2638,0.015,TP
23932,23935,LONG,113.3301,112.5368,-0.007,SL
23935,23942,LONG,112.52,111.7324,-0.007,SL
23942,23946,LONG,111.72,110.938,-0.007,SL
23946,23948,LONG,110.605,109.8308,-0.007,SL
23948,23953,LONG,109.39,108.6243,-0.007,SL
23953,23957,LONG,108.36,107.6015,-0.007,SL
23957,23966,LONG,107.19,108.7978,0.015,TP
23966,23975,LONG,108.9,110.5335,0.015,TP
23975,23991,LONG,110.888,112.5513,0.015,TP
23991,23999,LONG,112.58,114.2687,0.015,TP
23999,24012,LONG,114.525,113.7233,-0.007,SL
24012,24025,LONG,113.6,115.304,0.015,TP
24025,24031,LONG,115.3306,114.5233,-0.007,SL
24031,24052,LONG,114.3299,113.5296,-0.007,SL
24052,24069,LONG,113.13,114.8269,0.015,TP
24069,24078,LONG,114.84,114.0361,-0.007,SL
25747,25844,LONG,113.5694,115.2729,0.015,TP
25844,25878,LONG,115.675,114.8653,-0.007,SL
25878,25917,LONG,114.8205,114.0168,-0.007,SL
25917,25926,LONG,113.86,113.063,-0.007,SL
25926,25939,LONG,112.8806,112.0904,-0.007,SL
25939,26179,LONG,111.9896,112.18,0.0017,TIME
26942,26993,LONG,104.5805,103.8484,-0.007,SL
26993,26997,LONG,103.79,103.0635,-0.007,SL
26997,27016,LONG,102.9652,104.5097,0.015,TP
27016,27098,LONG,104.73,106.301,0.015,TP
27098,27110,LONG,106.3503,105.6058,-0.007,SL
27110,27131,LONG,105.53,104.7913,-0.007,SL
27131,27162,LONG,104.6804,103.9476,-0.007,SL
27162,27182,LONG,103.88,103.1528,-0.007,SL
27422,27428,LONG,110.02,109.2499,-0.007,SL
27428,27603,LONG,108.84,110.4726,0.015,TP
27603,27749,LONG,110.64,112.2996,0.015,TP
27749,27753,LONG,112.7,111.9111,-0.007,SL
27753,27760,LONG,111.0999,112.7664,0.015,TP
27760,27777,LONG,112.795,114.4869,0.015,TP
27777,28017,LONG,114.6252,115.14,0.00449,TIME
28017,28054,LONG,115.14,116.8671,0.015,TP
28054,28057,LONG,117.16,116.3399,-0.007,SL
28057,28073,LONG,116.245,117.9887,0.015,TP
28073,28100,LONG,118.0458,117.2195,-0.007,SL
28100,28110,LONG,116.95,116.1314,-0.007,SL
28110,28147,LONG,116.05,117.7908,0.015,TP
28147,28266,LONG,118.59,120.3688,0.015,TP
28266,28386,LONG,120.49,119.6466,-0.007,SL
31982,31986,LONG,104.25,103.5202,-0.007,SL
31986,32000,LONG,103.42,104.9713,0.015,TP
32000,32007,LONG,107.7,106.9461,-0.007,SL
32007,32012,LONG,106.64,105.8935,-0.007,SL
32012,32027,LONG,105.73,104.9899,-0.007,SL
32027,32029,LONG,104.94,104.2054,-0.007,SL
32029,32074,LONG,103.99,103.2621,-0.007,SL
32074,32086,LONG,103.175,102.4528,-0.007,SL
32086,32218,LONG,102.38,101.6633,-0.007,SL
32218,32222,LONG,101.61,103.1341,0.015,TP
33902,34142,LONG,105.3,106.4,0.01045,TIME
38699,38776,LONG,122.79,121.9305,-0.007,SL
38776,38944,LONG,121.9004,123.7289,0.015,TP
44210,44256,LONG,127.73,126.8359,-0.007,SL
44256,44348,LONG,126.73,128.6309,0.015,TP
44348,44588,LONG,128.635,129.2791,0.00501,TIME
47810,47900,LONG,121.35,120.5006,-0.007,SL
47900,47902,LONG,120.11,121.9116,0.015,TP
47902,47935,LONG,122.45,121.5928,-0.007,SL
47935,47946,LONG,121.17,120.3218,-0.007,SL
47946,47978,LONG,120.268,122.072,0.015,TP
47978,48010,LONG,122.255,121.3992,-0.007,SL
48010,48102,LONG,121.34,120.4906,-0.007,SL
48102,48197,LONG,120.4,119.5572,-0.007,SL
48197,48204,LONG,119.55,118.7132,-0.007,SL
48204,48213,LONG,118.55,117.7202,-0.007,SL
48213,48453,LONG,117.4416,118.11,0.00569,TIME
