,variable,ocurrencias,wr_long_30m,wr_short_30m,pnl_mean_30m,wr_long_60m,wr_short_60m,pnl_mean_60m,wr_long_120m,wr_short_120m,pnl_mean_120m,best_wr,has_edge
59,1D_stoch_A_bull,8562,0.5844,0.407,0.1454,0.617,0.3788,0.2939,0.6537,0.3443,0.6133,0.6537,True
74,1D_fib05_in_zone,11355,0.5657,0.4248,0.0475,0.5851,0.4085,0.095,0.6246,0.3724,0.1926,0.6246,True
137,1H_fib05_conf_sma200,659,0.5326,0.4628,0.0379,0.5099,0.481,0.0405,0.6161,0.3794,0.1782,0.6161,True
86,4H_stoch_A_bull,11918,0.5449,0.4481,0.0696,0.5712,0.4236,0.1359,0.6056,0.3919,0.2672,0.6056,True
40,1W_stoch_B_bear,9594,0.5272,0.4664,0.047,0.5587,0.4375,0.0986,0.6012,0.3974,0.1998,0.6012,True
69,1D_extreme_bull_sma200,960,0.3969,0.5979,0.0361,0.4927,0.5052,0.0755,0.5323,0.4656,0.1475,0.5979,True
67,1D_cross_bull_sma200,960,0.524,0.474,0.0493,0.5823,0.4146,0.1232,0.5792,0.4188,0.2749,0.5823,True
68,1D_reject_bull_sma200,960,0.524,0.474,0.0493,0.5823,0.4146,0.1232,0.5792,0.4188,0.2749,0.5823,True
101,4H_fib0382_reject_bull,19520,0.5256,0.4664,0.0322,0.5447,0.4502,0.0689,0.5799,0.4179,0.1927,0.5799,True
125,1H_cross_bear_sma200,4313,0.4999,0.4959,0.0272,0.5105,0.4857,0.0309,0.5727,0.4262,0.0079,0.5727,True
82,4H_macd_e2_bull,12319,0.5361,0.4523,0.0079,0.5625,0.4303,0.0264,0.5724,0.4245,0.0864,0.5724,True
53,1D_macd_e1_bull,46897,0.5267,0.462,0.0503,0.5457,0.4472,0.1021,0.5697,0.4248,0.2057,0.5697,True
73,1D_fib0382_conf_ema21,954,0.501,0.4937,-0.0584,0.4906,0.4958,-0.1171,0.4256,0.5692,-0.2165,0.5692,True
62,1D_stoch_B_bear,7553,0.4527,0.5407,-0.0501,0.4482,0.5469,-0.0974,0.4287,0.5689,-0.1855,0.5689,True
37,1W_stoch_A_bull,4799,0.5493,0.4434,0.0612,0.5689,0.4263,0.1228,0.5647,0.433,0.2531,0.5689,True
113,1H_macd_e2_bear,10410,0.5218,0.4696,0.0065,0.54,0.4508,0.0279,0.5671,0.4246,0.0035,0.5671,True
96,4H_reject_bull_sma200,7889,0.5234,0.4638,0.0268,0.5319,0.4596,0.0521,0.5669,0.4292,0.1053,0.5669,True
61,1D_stoch_B_bull,7730,0.5299,0.4563,0.0492,0.5589,0.4288,0.1031,0.5643,0.4167,0.2077,0.5643,True
58,1D_stoch_os,32303,0.5276,0.4662,0.0543,0.5498,0.4456,0.1078,0.5638,0.4331,0.2097,0.5638,True
105,4H_fib05_reject_bull,20327,0.5084,0.4817,0.0025,0.5267,0.467,0.0093,0.5607,0.4369,0.0374,0.5607,True
157,30M_reject_bull_sma200,11212,0.5024,0.49,0.0178,0.5258,0.4686,0.0155,0.5601,0.4368,0.0448,0.5601,True
199,15M_fib05_conf_sma200,7243,0.5085,0.4839,0.0055,0.5137,0.4813,0.0287,0.5567,0.4404,0.1059,0.5567,True
64,1D_cross_bear_ema21,20836,0.4763,0.5149,-0.0319,0.4637,0.531,-0.0656,0.4449,0.5518,-0.1446,0.5518,True
168,30M_fib05_conf_sma200,5212,0.5054,0.4864,-0.0214,0.5029,0.4864,-0.0492,0.5516,0.4436,0.0016,0.5516,True
144,30M_macd_e2_bear,11238,0.5512,0.4414,0.0681,0.5322,0.4614,0.0788,0.5246,0.4704,0.1315,0.5512,True
198,15M_fib05_reject_bear,29910,0.5095,0.4824,0.0244,0.517,0.4771,0.0592,0.5512,0.4457,0.1354,0.5512,True
116,1H_stoch_A_bull,11013,0.4569,0.5326,-0.0253,0.4433,0.5494,-0.0433,0.4551,0.5425,-0.0833,0.5494,False
133,1H_fib0382_conf_ema21,7907,0.5271,0.4636,0.0714,0.5477,0.4443,0.1409,0.5356,0.4605,0.2,0.5477,False
148,30M_stoch_A_bear,16402,0.533,0.4584,0.0284,0.5291,0.4645,0.0576,0.5473,0.4499,0.0769,0.5473,False
94,4H_cross_bull_sma200,3698,0.5381,0.4516,0.0545,0.5308,0.46,0.0826,0.546,0.4511,0.1308,0.546,False
90,4H_cross_bull_ema21,15007,0.5349,0.4541,0.0207,0.5364,0.4565,0.0338,0.5451,0.4517,0.0804,0.5451,False
79,1D_fib0618_reject_bear,36195,0.4672,0.5243,-0.0341,0.4621,0.5328,-0.0664,0.4529,0.5442,-0.129,0.5442,False
189,15M_reject_bear_sma200,8321,0.4754,0.5184,-0.0549,0.4525,0.5434,-0.0645,0.4877,0.5105,-0.0272,0.5434,False
193,15M_fib0382_reject_bull,30225,0.5084,0.4845,0.0168,0.5166,0.4778,0.0225,0.5429,0.4542,0.0824,0.5429,False
51,1W_fib0618_reject_bull,34111,0.501,0.4878,0.0028,0.5205,0.4726,0.0048,0.5416,0.4551,0.0054,0.5416,False
155,30M_cross_bull_sma200,4719,0.5007,0.491,0.0274,0.5262,0.4687,0.022,0.5408,0.4558,0.0196,0.5408,False
89,4H_stoch_B_bear,11535,0.463,0.5252,-0.0451,0.4513,0.5397,-0.1009,0.458,0.5365,-0.1583,0.5397,False
129,1H_extreme_bear_sma200,20194,0.5016,0.493,0.0527,0.517,0.479,0.0885,0.5375,0.4595,0.1496,0.5375,False
132,1H_fib0382_reject_bear,29591,0.5078,0.485,0.0161,0.5117,0.4829,0.0293,0.5362,0.4608,0.0728,0.5362,False
140,1H_fib0618_reject_bear,29298,0.5024,0.4904,0.023,0.5033,0.4917,0.0448,0.5361,0.4611,0.0769,0.5361,False
19,1M_extreme_bear_sma200,27473,0.5182,0.476,-0.0073,0.5223,0.4735,0.0081,0.5358,0.4611,0.0465,0.5358,False
124,1H_cross_bull_sma200,4314,0.4655,0.528,-0.0986,0.4601,0.5357,-0.1861,0.4689,0.5292,-0.2556,0.5357,False
45,1W_fib0382_in_zone,8632,0.4623,0.5317,-0.0202,0.4692,0.5227,-0.0396,0.4606,0.5356,-0.077,0.5356,False
41,1W_cross_bull_ema21,22985,0.5025,0.4865,0.002,0.5212,0.471,0.0052,0.5349,0.4613,0.0105,0.5349,False
80,4H_macd_e1_bull,35624,0.5127,0.4766,0.0066,0.5133,0.4773,0.017,0.5346,0.4587,0.0535,0.5346,False
48,1W_fib05_reject_bull,18186,0.4978,0.4915,0.0065,0.5079,0.484,0.0132,0.5346,0.4608,0.0261,0.5346,False
50,1W_fib0618_in_zone,7662,0.4595,0.5308,-0.0587,0.4597,0.5345,-0.1151,0.4823,0.5142,-0.2256,0.5345,False
127,1H_reject_bear_sma200,8802,0.5097,0.4828,0.007,0.518,0.4784,0.0098,0.5343,0.464,-0.0171,0.5343,False
167,30M_fib05_reject_bear,25701,0.5058,0.4871,0.0098,0.5029,0.4906,0.0187,0.5342,0.4625,0.054,0.5342,False
34,1W_macd_e2_bear,9582,0.5047,0.4871,0.003,0.5145,0.4803,0.0053,0.5339,0.4627,0.007,0.5339,False
175,15M_macd_e2_bear,10889,0.5105,0.4821,-0.0102,0.5137,0.4809,0.0086,0.5339,0.4631,0.0412,0.5339,False
196,15M_fib05_in_zone,36648,0.5079,0.4831,0.0221,0.5129,0.4805,0.0495,0.5337,0.4626,0.1062,0.5337,False
190,15M_extreme_bull_sma200,42837,0.5199,0.4706,0.0174,0.5277,0.4657,0.0346,0.532,0.4623,0.0643,0.532,False
